Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1,2.236068,1,0,1.414214
1.414214,1.414214,1,0,2.236068
0,1,2,1,1
2.236068,4.123106,1,4.123106,4
1,1,1.414214,0,0
1.414214,0,2.828427,2,2.236068
4.242641,0,4.123106,7,3.162278
1.414214,2,2,1,3
1.414214,0,1,1.414214,1
1.414214,4.472136,1,1,3.605551
0,1,1,1.414214,1.414214
0,1,1,0,0
1.414214,1,2,1,1.414214
1.414214,0,1,1,0
1.414214,1.414214,2.236068,1,0
1.414214,2,0,1,2
1.414214,1,1,2,0
1.414214,1,1,2.236068,1.414214
1,2.236068,2,0,3.605551
1,0,1.414214,0,0
1.414214,1.414214,1,1,1
1.414214,0,1.414214,0,3.162278
1,0,1.414214,1,0
2,1,1,2.236068,2.236068
1.414214,2,1,1,1.414214
1.414214,2.236068,3.162278,2.236068,2.236068
1.414214,1.414214,3.162278,4.472136,2.236068
1.414214,1.414214,1.414214,0,2
1,1,0,1.414214,1.414214
1.414214,4.123106,5.09902,4.472136,3.162278
1.414214,2.236068,2.236068,1.414214,1
1,1,0,1.414214,1
1.414214,1,4.123106,1.414214,1
1.414214,1,1,1.414214,1
0,1,1.414214,0,1
1.414214,1.414214,2.236068,2,0
1,0,1,2.236068,1.414214
1.414214,1,1,0,1
1,2.828427,1,1.414214,2.236068
1,1,1,1,2.236068
1.414214,2.236068,0,0,2.236068
1.414214,2.236068,1,1.414214,2.236068
1.414214,1.414214,1,1.414214,1
0,2.236068,1,0,1
1.414214,1.414214,2.236068,2.236068,1.414214
1.414214,1.414214,1.414214,1.414214,1.414214
1.414214,1.414214,3,1.414214,3
1.414214,0,2.828427,1,1
1,0,2,1,1
1,1,1,1,1.414214
1.414214,1,0,2.236068,1.414214
1,1,2.236068,1,1
1.414214,1,0,0,1.414214
1,1,1,1,1
1.414214,2.236068,2.236068,1,1
1.414214,1,1.414214,2.236068,1.414214
1,4,7.071068,1.414214,1.414214
1.414214,1.414214,1.414214,1.414214,1
1.414214,0,0,0,1
1.414214,1,0,0,0
1.414214,1,1.414214,1,1
1.414214,1,1,2.236068,1.414214
1.414214,0,1,1,1.414214
1,1,1.414214,2,1
1.414214,1.414214,0,0,1
1.414214,0,1.414214,1,1.414214
1.414214,1.414214,1,0,1.414214
1.414214,1,2.828427,0,1
1.414214,1,0,1,1
1.414214,1,1,1,1
1.414214,0,0,1.414214,1
1.414214,1,1.414214,1,1
1,0,2.236068,1,2
1,1.414214,1.414214,2,0
1.414214,1,1,1.414214,1
1.414214,0,0,1,1
1.414214,1.414214,1,0,0
1.414214,0,2,2,1.414214
1.414214,7.615773,5.09902,3.162278,6.708204
1.414214,1,1.414214,1,1.414214
1.414214,1,1,1,1
1.414214,1,2.236068,0,1
1.414214,1,1,1.414214,2.236068
1.414214,2.236068,1,2,1
1,1,0,1.414214,0
1,4,1.414214,1,3.162278
1.414214,0,1,0,1
1,1,2.236068,1,1
1,1,2,0,0
1.414214,1,3.605551,1.414214,3
1.414214,1.414214,0,1.414214,1
1.414214,1,0,1.414214,1
1.414214,1.414214,1.414214,1,0
1.414214,2,1.414214,1,0
0,0,1,3.162278,1
1.414214,1.414214,0,1,1
